label,value,standard_error,expression,maximum,minimum,non_negative,vary
input670.Ant1,0.88149637,None,None,,,False,False
input670.Bulk,0.108503632,None,None,,,False,False
input670.Red1,0,None,None,,,False,False
input670.Red2,0,None,None,,,False,False
input670.freeChl,2.80E-02,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.WLRC,0.01,None,None,,,False,False
input700.Ant1,0,None,None,,,False,False
input700.Bulk,0.340252995,None,None,,,False,False
input700.Red1,0.218933508,None,None,,,False,False
input700.Red2,0.240813479,None,None,,,False,False
input700.WLRC,0.200000003,None,None,,,False,False
input700.0,0,None,None,,,False,False
rates.kF,7.38E-04,None,None,,,False,False
rates.ToBulkFromRed1,0.397434801,None,None,,,False,False
rates.ToRed1FromBulk,0.139069811,None,None,,,False,False
rates.ToBulkFromRed2,0.124007486,None,None,,,False,False
rates.ToRed2FromBulk,0.03303463,None,None,,,False,False
rates.ToBulkFromWLRC,0.859185934,None,None,,,False,False
rates.ToWLRCFromBulk,0.190930218,None,None,,,False,False
rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
rates.ToWLRP2FromWLRP1,0.0585,None,None,,,False,False
rates.ToWLRP2FromWLRP2,3.00E-05,None,None,,,False,False
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.Red1SADS,7.53E+01,None,None,,,False,True
scale.Red2SADS,6.75E+01,None,None,,,False,True
scale.WLRCSADS,1.02E+02,None,None,,,False,True
scale.WLRP1SADS,1.03E+03,None,None,,,False,True
scale.670,1,None,None,,,False,False
scale.700,0.769221904,0.000713954,None,,0,False,True
scale.670TR2,0.989523799,0.000456926,None,,0,False,True
scale.700TR2,0.760727128,0.000509137,None,,0,False,True
irf.center1,0.302668395,0.000492425,None,,0,False,True
irf.width1,0.038935303,0.000245224,None,,0,False,True
irf.center2,0.306993983,0.000304013,None,,0,False,True
irf.width2,0.054873065,0.000153411,None,,0,False,True
irf.disp1,-1.664843726,0.00505012,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
