label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.2,0.04,None,None,,,False,False
input.0,0,None,None,,,False,False
brates.k21,2.802871595,0.012478344,None,,0,False,True
brates.k32,0.41262429,0.001918925,None,,0,False,True
brates.k43,0.051657937,0.000729469,None,,0,False,True
brates.k54,0.037,0.000234292,None,,0,False,False
brates.k55,2.77E-05,3.48E-06,None,,0,False,True
rates.k21,1.676349816,0.018975858,None,,0,False,True
rates.k32,0.072704578,0.000611884,None,,0,False,True
rates.k43,0.040751395,0.000187273,None,,0,False,True
rates.k44,2.77E-05,None,$brates.k55,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.751147842,0.000713954,None,,0,False,True
scale.670TR2,0.988590661,0.000456926,None,,0,False,True
scale.700TR2,0.742861323,0.000509137,None,,0,False,True
irf.center1,0.301380945,0.000492425,None,,0,False,True
irf.width1,0.038903292,0.000245224,None,,0,False,True
irf.center2,0.30697272,0.000304013,None,,0,False,True
irf.width2,0.054666438,0.000153411,None,,0,False,True
irf.disp1,-1.647548958,0.00505012,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
