label,value,standard_error,expression,maximum,minimum,non_negative,vary
input670.Ant1,0.88149637,None,None,,,False,False
input670.Bulk,0.108503632,None,None,,,False,False
input670.Red1,0,None,None,,,False,False
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.WLRC,0.01,None,None,,,False,False
input700.Ant1,0,None,None,,,False,False
input700.Bulk,0.340252995,None,None,,,False,True
input700.Red1,0.459747002,None,1-$input700.Bulk-$input700.WLRC,,,False,False
input700.Red2,0.240813479,None,None,,,False,False
input700.WLRC,0.200000003,None,None,,,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed1,0.196260376,0.000436782,None,,,False,True
rates.ToRed1FromBulk,0.117791497,0.000248022,None,,,False,True
rates.ToBulkFromRed2,0.124007486,None,None,,,False,False
rates.ToRed2FromBulk,0.03303463,None,None,,,False,False
rates.ToBulkFromWLRC,0.859185934,None,None,,,False,False
rates.ToWLRCFromBulk,0.190930218,None,None,,,False,False
rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
rates.ToWLRP2FromWLRP1,0.0585,None,None,,,False,False
rates.ToWLRP2FromWLRP2,1.00E-12,None,None,,,False,False
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,1,0.000383186,None,,,False,False
scale.670TR2,0.958909645,0.000459225,None,,,False,False
scale.700TR2,1,0.000382345,None,,,False,True
scale.Red1SADS,73.79850039,23.3653331,None,,,False,False
scale.Red2SADS,67.5,None,None,,,False,False
scale.WLRCSADS,68.51762586,0.383465271,None,,,False,False
scale.WLRP1SADS,968.6883264,2.00089971,None,,,False,False
irf.center1,0.285175973,0.000471073,None,,,False,False
irf.width1,0.059461116,0.000136277,None,,,False,False
irf.center2,0.303188182,0.000362534,None,,,False,True
irf.width2,0.055873301,0.000174057,None,,,False,True
irf.disp1,-1.909963217,0.005519131,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,7.73775625,None,None,,,False,False
osc.freq.1,449.62088,None,None,,,False,False
