label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.395520602,None,1-$input700.RC-$input700.Red,,,False,False
input700.Red,0.352984426,1339.608009,None,0.4,0,False,True
input700.RC,0.251494972,2840.644626,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.218901454,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.127436939,0.000290769,None,,,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,,False,False
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.05598972,0.00091121,None,,0,False,True
rates.ToRP1FromBulk,0.078200968,0.000873373,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.625162371,0.000583529,None,,0,False,True
scale.670TR2,0.929810588,0.000546626,None,,0,False,True
scale.700TR2,0.657849294,0.000498998,None,,0,False,True
irf.center2,0.319335171,0.000405893,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.45244615,0.000287995,None,,0,False,True
irf.width1,0.107037817,0.000145124,None,,0,False,True
input670.Ant1,0.88149637,None,1-$input670.RC-$input670.Red-$input670.Bulk,,,False,False
input670.Bulk,0.2,None,None,0.4,0,False,True
input670.Red,0.099789827,273.9209978,None,0.1,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.099724938,2471.236945,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
