label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.571175103,None,1-$input700.RC-$input700.Red,,,False,False
input700.Red,0.228718297,0.00603343,None,0.4,0,False,True
input700.RC,0.2001066,0.004704651,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.150459986,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.087592657,0.000431983,None,,,False,True
rates.ToBulkFromRC,0.542724334,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.121098168,0.000356933,None,,,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.158980278,0.001214898,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.711821804,0.00062815,None,,0,False,True
scale.670TR2,0.973124091,0.00042559,None,,0,False,True
scale.700TR2,0.719049531,0.000429529,None,,0,False,True
irf.center2,0.307832246,0.00033443,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.313616316,0.000265077,None,,0,False,True
irf.width1,0.059520381,0.000146142,None,,0,False,True
input670.Ant1,0.899968857,None,1-$input670.RC-$input670.Red-$input670.Bulk,,,False,False
input670.Bulk,4.80E-05,0.201863532,None,0.4,0,False,True
input670.Red,0.099983115,0.013788595,None,0.1,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,1.66E-09,0.014535525,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
