label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.619335693,None,1-$input700.Red-$input700.RC,,,False,False
input700.Red,0.380664307,0.002126354,None,0.4,0,False,True
input700.RC,0.195866421,0.08457915,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.162391712,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.0945389,0.000367427,None,,0,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059262411,0.000876997,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.676031955,0.000643332,None,,0,False,True
scale.670TR2,0.95643567,0.000545353,None,,0,False,True
scale.700TR2,0.681520607,0.000488869,None,,0,False,True
irf.center2,0.339259392,0.000297602,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.325312849,0.000480087,None,,0,False,True
irf.width1,0.042041521,0.000357859,None,,0,False,True
input670.Ant1,0.894502792,None,1-$input670.Red-$input670.Bulk-$input670.RC,,,False,False
input670.Bulk,0.1,None,None,0.15,0,False,False
input670.Red,0.005497208,0.005067608,None,0.15,0,False,True
input670.Red2,0,None,None,,,False,False
input670.free,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.003828154,0.002826812,None,0.1,0,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromAnt1,2.347720451,None,$rates.ToAnt1FromBulk*exp(4),,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
scale.RP1SADS,1.00E+00,0.035747083,None,,0,False,True
scale.RP2SADS,1.00E+00,0.035747083,None,,0,False,True
