label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.2,0.03,None,None,,,False,False
input.0,0,None,None,,,False,False
brates.k21,2.70654034,0.011693997,None,,0,False,True
brates.k32,0.382948722,0.001653929,None,,0,False,True
brates.k43,0.064046586,0.000666809,None,,0,False,True
brates.k54,0.0378,None,None,,0,False,True
brates.k55,2.00E-05,None,None,,0,False,True
rates.k21,1.699955379,None,None,,0,False,True
rates.k32,0.074068558,0.020878199,None,,0,False,True
rates.k43,0.038142784,0.000726395,None,,0,False,True
rates.k44,0.03832,None,$brates.k55,,,False,False
rates.kF,5.00E-04,None,None,,0,False,True
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.7,None,None,,0,False,True
scale.670TR2,0.987747945,0.000431463,None,,0,False,True
scale.700TR2,0.692458803,0.000421643,None,,0,False,True
irf.center1,0.320818355,0.000613707,None,,0,False,True
irf.width1,0.040136395,0.000446723,None,,0,False,True
irf.center2,0.298740179,0.000331046,None,,0,False,True
irf.width2,0.052484906,0.000165054,None,,0,False,True
irf.disp1,-1.912612849,0.005595244,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
