label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.338049221,None,1-$input700.RC-$input700.Red,,,False,False
input700.Red,0.383306864,1957.758669,None,0.4,0,False,True
input700.RC,0.278643915,3684.361591,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.217816931,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.126805567,0.000274165,None,,,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,,False,False
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.045228569,None,None,,0,False,True
rates.ToRP1FromBulk,0.4,0.000127117,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.626570405,0.000660939,None,,0,False,True
scale.670TR2,0.928533716,0.00060808,None,,0,False,True
scale.700TR2,0.656327151,0.000568735,None,,0,False,True
irf.center2,0.341760399,0.000395625,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.502800247,0.000358229,None,,0,False,True
irf.width1,0.129913909,0.000171548,None,,0,False,True
input670.Ant1,0.899968857,None,1-$input670.RC-$input670.Red-$input670.Bulk,,,False,False
input670.Bulk,3.00E-01,0.201863532,None,0.4,0,False,True
input670.Red,0.09995642,280.0383714,None,0.1,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.09161768,2544.928444,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
