label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.440843614,None,1-$input700.RC-$input700.Red,,,False,False
input700.Red,0.370876774,935.0443963,None,0.4,0,False,True
input700.RC,0.188279612,2046.487195,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.201890885,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.117533968,0.00026882,None,,,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,0,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059,0.000622381,None,,0,False,False
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.653077527,0.000571759,None,,0,False,True
scale.670TR2,0.951366275,0.000462818,None,,0,False,True
scale.700TR2,0.685194159,0.000473752,None,,0,False,True
irf.center2,0.316229992,0.000325814,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.340996852,0.000325513,None,,0,False,True
irf.width1,0.068310013,0.000154441,None,,0,False,True
input670.Ant1,0.800004189,None,1-$input670.RC-$input670.Red-$input670.Bulk,,,False,False
input670.Bulk,7.47E-07,0.176781184,None,0.4,0,False,True
input670.Red,0.099998283,180.53497,None,0.1,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.099996781,1624.848249,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
