label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.489818227,None,1-$input700.RC-$input700.Red1-$input700.Red2,,,False,False
input700.Red1,0.22,0.010896865,None,0.25,0,False,False
input700.Red2,0.24,0.008309597,None,0.25,0,False,False
input700.RC,0.2,0.044166361,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRC,0.513146,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.19,0.002311788,None,,0,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059,0.000622381,None,,0,False,False
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.759375108,0.000694265,None,,0,False,True
scale.670TR2,0.987697517,0.000457808,None,,0,False,True
scale.700TR2,0.754590809,0.000474659,None,,0,False,True
irf.center2,0.306922577,0.000304944,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.322668739,0.00037097,None,,0,False,True
irf.width1,0.040943203,0.000265292,None,,0,False,True
input670.Ant1,0.84918854,None,1-$input670.RC-$input670.Red1-$input670.Red2-$input670.Bulk,,,False,False
input670.Bulk,1.10E-01,0.195682352,None,0.4,0,False,False
input670.Red1,0,0.009263791,None,0.15,0,False,False
input670.Red2,0,0.01391203,None,0.15,0,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,1.00E-02,0.014485054,None,0.1,0,False,False
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromRed1,0.149777721,None,$rates.ToRed1FromBulk*exp(1.05),,,False,False
rates.ToRed2FromBulk,0.033,0.002519393,None,,,False,True
rates.ToBulkFromRed2,0.202178776,None,$rates.ToRed2FromBulk*exp(1.32),,,False,False
rates.ToRed1FromBulk,0.139,0.002090683,None,,,False,True
scale.Red1SADS,7.53E+01,0.019425482,None,,0,False,False
scale.Red2SADS,6.75E+01,0.021923997,None,,0,False,True
scale.WLRCSADS,1.02E+02,0.023619567,None,,0,False,True
scale.WLRP1SADS,1.03E+03,0.035747083,None,,0,False,True
