label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1,None,None,,,False,False
input.2,0.04,None,None,,,False,False
input.0,0,None,None,,,False,False
brates.k21,2.787736524,0.012478344,None,,0,False,True
brates.k32,0.40944519,0.001918925,None,,0,False,True
brates.k43,0.065385647,0.000729469,None,,0,False,True
brates.k54,0.035985456,0.000234292,None,,0,False,True
brates.k55,1.00E-06,3.48E-06,None,,0,False,True
rates.k21,1.683107186,0.018975858,None,,0,False,True
rates.k32,0.06172063,0.000611884,None,,0,False,True
rates.k43,0.037909702,0.000187273,None,,0,False,True
rates.k44,3.35E-14,None,$brates.k55,,,False,False
rates.kF,0.002353351,7.52E-05,None,,0,False,True
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.769221904,0.000713954,None,,0,False,True
scale.670TR2,0.989523799,0.000456926,None,,0,False,True
scale.700TR2,0.760727128,0.000509137,None,,0,False,True
irf.center1,0.302668395,0.000492425,None,,0,False,True
irf.width1,0.038935303,0.000245224,None,,0,False,True
irf.center2,0.306993983,0.000304013,None,,0,False,True
irf.width2,0.054873065,0.000153411,None,,0,False,True
irf.disp1,-1.664843726,0.00505012,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,-21.37291426,None,None,,,False,False
osc.freq.1,104.2596174,None,None,,,False,False
artifact.CAwidth,0.04968828,None,None,,0,False,False
scale.RP2aSADS,1,None,$scale.RP2SADS,,,False,False
scale.RP2SADS,1,None,None,,,False,True
