label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.437392308,None,1-$input700.Red1-$input700.RC-$input700.Red2,,,False,False
input700.Red1,0.184,0.000834032,None,0.25,0,False,True
input700.Red2,0.14,0.000834032,None,,,False,False
input700.RC,0.18,None,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,True
rates.ToBulkFromRC,0.852182045,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190147516,None,None,,,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059046032,0.000221841,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.661870224,0.000590338,None,,0,False,True
scale.670TR2,0.984499328,0.000425319,None,,0,False,True
scale.700TR2,0.655220298,0.000549872,None,,0,False,True
irf.center2,0.308064967,0.000297259,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.32221938,0.000345297,None,,0,False,True
irf.width1,0.04153321,0.000267556,None,,0,False,True
input670.Ant1,0.822296934,None,1-$input670.Red1-$input670.Bulk-$input670.RC,,,False,False
input670.Bulk,0.15,0.003735005,None,0.3,0,False,True
input670.Red1,0.02,0.001314704,None,0.15,0,False,False
input670.Red2,0,None,None,,,False,False
input670.free,0.018,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.02,0.002826812,None,0.1,0,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromAnt1,2.347720451,None,$rates.ToAnt1FromBulk*exp(4),,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,True
scale.RP1SADS,1.170640764,0.005255687,None,,0,False,True
scale.Ant1SADS,1,0.035747083,None,,0,False,False
scale.RCSADS,1,0.023619567,None,,0,False,True
rates.ToBulkFromRed1,0.149777721,None,$rates.ToRed1FromBulk*exp(1.05),,,False,False
rates.ToRed2FromBulk,0.033,0.002519393,None,,0,False,True
rates.ToBulkFromRed2,0.202178776,None,$rates.ToRed2FromBulk*exp(1.32),,,False,False
rates.ToRed1FromBulk,0.139,0.002090683,None,,0,False,True
scale.freeSADS,1,0.023619567,None,,0,False,True
