label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,1,None,None,,,False,False
input700.0,0,None,None,,,False,False
rates.ToRP2FromBulk,0.0585,None,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.741985508,0.000707474,None,,0,False,True
scale.670TR2,0.998328854,0.000494688,None,,0,False,True
scale.700TR2,0.727871179,0.000479684,None,,0,False,True
irf.center2,0.303188182,0.000362534,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.424714403,0.000409004,None,,0,False,True
irf.width1,0.081150758,0.000136885,None,,0,False,True
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
input670.Bulk,1.00E+00,0.195682352,1-$input670.free,,0,False,False
input670.free,0.028,None,None,,0,False,False
