label,value,standard_error,expression,maximum,minimum,non_negative,vary
spectral.amp1,1,None,None,,,False,False
spectral.loc1,14188.76302,5.873625091,None,,,False,True
spectral.width1,583.8564453,13.34811904,None,,,False,True
spectral.skew1,-0.390200703,0.032570197,None,,,False,True
spectral.amp2,-0.3,0.032570197,None,,,False,True
spectral.loc2,15070.55179,36.40605147,None,,,False,True
spectral.width2,903.321693,93.26723419,None,,,False,True
spectral.skew2,-0.196194452,0.251068663,None,,,False,True
spectral.amp3,1,None,None,,,False,False
spectral.loc3,14188.76302,None,$spectral.loc1+$spectral.shift,,,False,False
spectral.width3,583.8564453,None,$spectral.width1,,,False,False
spectral.skew3,-0.390200703,None,$spectral.skew1,,,False,False
spectral.amp4,1,None,$spectral.amp2,,,False,False
spectral.loc4,15070.55179,None,$spectral.loc2+$spectral.shift,,,False,False
spectral.width4,903.321693,None,$spectral.width2,,,False,False
spectral.skew4,-0.196194452,None,$spectral.skew2,,,False,False
spectral.shift,200,0.032570197,None,,,False,False
rel.r1,1,None,None,,,False,False
