label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.44476753,None,1-$input700.Red-$input700.RC,,,False,False
input700.Red,0.359366049,0.000829311,None,0.4,0,False,True
input700.RC,0.195866421,0.08457915,None,0.4,0,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,0.001,,False,True
rates.ToBulkFromRed,0.147651887,None,$rates.ToRedFromBulk*exp($dG.Red),,,False,False
rates.ToRedFromBulk,0.085957878,0.000252003,None,,0,False,True
rates.ToBulkFromRC,0.780511088,None,$rates.ToRCFromBulk*exp($dG.RC),,,False,False
rates.ToRCFromBulk,0.174155564,0.000673634,None,,,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059636291,0.000237456,None,,0,False,True
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.655302704,0.000522755,None,,0,False,True
scale.670TR2,0.985463283,0.000428564,None,,0,False,True
scale.700TR2,0.645523899,0.000506501,None,,0,False,True
irf.center2,0.308575243,0.000297923,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.318818919,0.000337088,None,,0,False,True
irf.width1,0.040376397,0.00025598,None,,0,False,True
input670.Ant1,0.874945091,None,1-$input670.Red-$input670.Bulk-$input670.RC,,,False,False
input670.Bulk,0.1,None,None,0.15,0,False,True
input670.Red,0.021226755,0.000971587,None,0.15,0,False,True
input670.free,0.04,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.003828154,0.002826812,None,0.1,0,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromAnt1,2.347720451,None,$rates.ToAnt1FromBulk*exp($dG.Ant1),,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
scale.RP1SADS,1.157490388,0.005381536,None,,0,False,True
scale.Ant1SADS,1,0.035747083,None,,0,False,False
scale.freeSADS,1,None,None,,0,False,True
dG.RC,1.5,None,None,,0,False,False
dG.Red,0.54,None,None,,0,False,False
dG.Ant1,4,None,None,,0,False,False
