label,value,standard_error,expression,maximum,minimum,non_negative,vary
input670.Ant1,0.88149637,None,None,,,False,False
input670.Bulk,0.108503632,None,None,,,False,False
input670.Red1,0,None,None,,,False,False
input670.Red2,0,None,None,,,False,False
input670.freeChl,2.80E-02,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.WLRC,0.01,None,None,,,False,False
input700.Ant1,0,None,None,,,False,False
input700.Bulk,0.340252995,None,None,,,False,False
input700.Red1,0.218933508,None,None,,,False,False
input700.Red2,0.240813479,None,None,,,False,False
input700.WLRC,0.200000003,None,None,,,False,False
input700.0,0,None,None,,,False,False
rates.kF,7.38E-04,None,None,,,False,False
rates.ToBulkFromRed1,0.397434801,None,None,,,False,False
rates.ToRed1FromBulk,0.139069811,None,None,,,False,False
rates.ToBulkFromRed2,0.124007486,None,None,,,False,False
rates.ToRed2FromBulk,0.03303463,None,None,,,False,False
rates.ToBulkFromWLRC,0.859185934,None,None,,,False,False
rates.ToWLRCFromBulk,0.190930218,None,None,,,False,False
rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
rates.ToWLRP2FromWLRP1,0.0585,None,None,,,False,False
rates.ToWLRP2FromWLRP2,1.00E-12,None,None,,,False,False
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.699921429,None,None,,,False,True
scale.670TR2,0.977891922,None,None,,,False,True
scale.700TR2,0.707164109,None,None,,,False,True
scale.Red1SADS,7.53E+01,None,None,,,False,True
scale.Red2SADS,6.75E+01,None,None,,,False,True
scale.WLRCSADS,1.02E+02,None,None,,,False,True
scale.WLRP1SADS,1.03E+03,None,None,,,False,True
irf.center1,0.282201082,None,None,,,False,True
irf.width1,5.71E-02,None,None,,,False,True
irf.center2,0.303110003,None,None,,,False,True
irf.width2,5.30E-02,None,None,,,False,True
irf.disp1,-1.82624149,None,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,7.73775625,None,None,,,False,False
osc.freq.1,449.62088,None,None,,,False,False
