label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.1,1.00E+00,None,None,,,False,False
input.0,0,None,None,,,False,False
brates.k21,3.00E+00,None,None,,0,False,True
brates.k32,1,None,None,,0,False,True
brates.k43,0.3,None,None,,0,False,True
brates.k54,0.0378,None,None,,0,False,False
brates.k55,2.00E-05,None,None,,,False,False
rates.k21,1.00E+01,None,None,,,False,False
rates.k32,1,None,None,,0,False,True
rates.k43,0.3,None,None,,0,False,True
rates.k54,0.037807183,None,$brates.k54,,0,False,False
rates.k55,1.00E-12,None,$brates.k55,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.7,None,None,,0,False,False
scale.670TR2,1,None,None,,0,False,True
scale.700TR2,0.7,None,None,,0,False,True
irf.center1,0.282201082,None,None,,0,False,True
irf.width1,5.71E-02,None,None,,0,False,True
irf.center2,0.303110003,None,None,,0,False,True
irf.width2,5.30E-02,None,None,,0,False,True
irf.disp1,-1.82624149,None,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,7.73775625,None,None,,,False,True
osc.freq.1,449.62088,None,None,,,False,True
