label,value,standard_error,expression,maximum,minimum,non_negative,vary
input670.Ant1,0.88149637,None,None,,,False,False
input670.Bulk,0.108503632,None,None,,,False,False
input670.Red1,0,None,None,,,False,False
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.WLRC,0.01,None,None,,,False,False
input700.Ant1,0,None,None,,,False,False
input700.Bulk,0.340252995,None,None,,,False,False
input700.Red1,0.218933508,None,None,,,False,False
input700.Red2,0.240813479,None,None,,,False,False
input700.WLRC,0.200000003,None,None,,,False,False
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed1,0.397434801,None,None,,,False,False
rates.ToRed1FromBulk,0.139069811,None,None,,,False,False
rates.ToBulkFromRed2,0.124007486,None,None,,,False,False
rates.ToRed2FromBulk,0.03303463,None,None,,,False,False
rates.ToBulkFromWLRC,0.859185934,None,None,,,False,False
rates.ToWLRCFromBulk,0.190930218,None,None,,,False,False
rates.ToWLRCFromWLRP1,0.005363027,None,None,,,False,False
rates.ToWLRP1FromWLRC,0.899999976,None,None,,,False,False
rates.ToWLRP2FromWLRP1,0.058538463,None,None,,,False,False
rates.ToWLRP2FromWLRP2,3.00E-05,None,None,,,False,False
rates.ToBulkFromAnt1,2.63000011,None,None,,,False,False
rates.ToAnt1FromBulk,0.043000002,None,None,,,False,False
area.1,1,None,None,,,False,False
rel.r1,1,None,None,,,False,False
scale.Red1SADS,60.89836478,165.0293974,None,,,False,True
scale.Red2SADS,117.5589576,276.0097307,None,,,False,True
scale.WLRCSADS,81.03377264,247.0460326,None,,,False,True
scale.WLRP1SADS,1033.519041,599.6166261,None,,,False,True
scale.670,1,None,None,,,False,False
scale.700,0.741985508,0.000707474,None,,0,False,True
scale.670TR2,0.998328854,0.000494688,None,,0,False,True
scale.700TR2,0.727871179,0.000479684,None,,0,False,True
irf.center1,0.306041534,0.000510907,None,,0,False,True
irf.width1,0.040012226,0.000267138,None,,0,False,True
irf.center2,0.307152333,0.000322567,None,,0,False,True
irf.width2,0.055035468,0.000160998,None,,0,False,True
irf.disp1,-1.670322059,0.005311745,None,,,False,True
irf.dispcenter,700,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
