label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.533713547,None,1-$input700.RC-$input700.Red,,,False,False
input700.Red,0.305837345,886.3083602,None,0.4,0,False,True
input700.RC,0.160449108,2432.995671,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.216953704,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.126303026,0.000412726,None,,,False,True
rates.ToBulkFromRC,0.855689871,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.190930218,None,None,,,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.1,0.001516049,None,,0,False,True
rates.ToRP1FromBulk,0.072609125,9.53E-05,None,,0,False,False
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.65863756,0.000567758,None,,0,False,True
scale.670TR2,0.952500845,0.000456927,None,,0,False,True
scale.700TR2,0.682481874,0.000433393,None,,0,False,True
irf.center2,0.316134258,0.000324988,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.313815683,0.000301793,None,,0,False,True
irf.width1,0.059697233,0.000162919,None,,0,False,True
input670.Ant1,0.8,None,1-$input670.RC-$input670.Red-$input670.Bulk,,,False,False
input670.Bulk,2.00E-01,0.077479693,None,0.4,0,False,True
input670.Red,0.1,208.0142659,None,0.1,0,False,True
input670.Red2,0,None,None,,,False,False
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,0.01,1872.127584,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
