label,value,standard_error,expression,maximum,minimum,non_negative,vary
input700.Bulk,0.394042991,None,1-$input700.RC-$input700.Red1-$input700.Red2,,,False,False
input700.Red1,0.19,0.007224328,None,0.25,0,False,True
input700.Red2,0.19,0.007224328,None,0.25,0,False,True
input700.RC,0.225318025,0.037412093,None,0.4,0,False,True
input700.0,0,None,None,,,False,False
rates.kF,0.000738,None,None,,,False,False
rates.ToBulkFromRed,0.170241493,None,$rates.ToRedFromBulk*exp(0.541),,,False,False
rates.ToRedFromBulk,0.099108774,0.000412055,None,,,False,True
rates.ToBulkFromRC,0.507111991,None,$rates.ToRCFromBulk*exp(1.5),,,False,False
rates.ToRCFromBulk,0.11315198,0.000982371,None,,0,False,True
rates.ToRCFromRP1,0.005378421,None,None,,,False,False
rates.ToRP1FromRC,0.9,None,None,,,False,False
rates.ToRP2FromRP1,0.059,0.000622381,None,,0,False,False
rates.ToRP2FromRP2,1.00E-05,None,None,,,False,False
scale.670,1,None,None,,,False,False
scale.700,0.722475426,0.000576769,None,,0,False,True
scale.670TR2,0.976176423,0.000429046,None,,0,False,True
scale.700TR2,0.73361992,0.000456776,None,,0,False,True
irf.center2,0.306183092,0.000339924,None,,0,False,True
irf.width2,0.055873301,0.000174057,None,,0,False,False
irf.disp1,-1.909963217,0.005519131,None,,,False,False
irf.dispcenter,700,None,None,,,False,False
irf.center1,0.317504234,0.000260286,None,,0,False,True
irf.width1,0.061428341,0.000140734,None,,0,False,True
input670.Ant1,0.900017656,None,1-$input670.RC-$input670.Red1-$input670.Red2-$input670.Bulk,,,False,False
input670.Bulk,3.00E-02,1.084084344,None,0.4,0,False,True
input670.Red1,0.05,0.050573672,None,0.15,0,False,True
input670.Red2,0.05,None,None,0.15,0,False,True
input670.freeChl,0.028,None,None,,,False,False
input670.0,0,None,None,,,False,False
input670.RC,1.00E-02,0.070165055,None,0.1,0,False,True
rates.ToBulkFromAnt1,2.63,None,None,,,False,False
rates.ToAnt1FromBulk,0.043,None,None,,,False,False
osc.rates.1,-21.37291426,0.636695643,None,,,False,False
osc.freq.1,104.2596174,0.97703901,None,,,False,False
artifact.CAwidth,0.04968828,0.000173987,None,,0,False,False
rates.ToBulkFromRed1,0.397434801,None,$rates.ToRedFromBulk*exp(1),,,False,False
rates.ToRed1FromBulk,0.139069811,None,None,,,False,True
rates.ToBulkFromRed2,0.124007486,None,$rates.ToRedFromBulk*exp(1.3),,,False,False
rates.ToRed2FromBulk,0.03303463,None,None,,,False,True
scale.Red1SADS,1.00E+00,None,None,,0,False,True
scale.Red2SADS,1.00E+00,None,None,,0,False,True
